iter	Passed	Remaining
430	691	913
431	693	911
432	695	910
433	696	908
434	698	907
435	700	906
436	703	905
437	705	904
438	706	903
439	708	901
440	710	900
441	712	899
442	714	898
443	716	897
444	718	895
445	720	894
446	721	892
447	723	891
448	724	889
449	726	887
450	727	886
451	729	884
452	731	882
453	732	881
454	734	879
455	735	877
456	737	875
457	738	874
458	740	872
459	741	870
460	743	869
461	745	868
462	747	866
463	748	865
464	750	863
465	752	861
466	753	860
467	755	858
468	756	856
469	758	855
470	759	853
471	761	852
472	763	851
473	765	849
474	767	848
475	768	846
476	770	844
477	772	843
478	773	841
479	775	840
480	777	839
481	779	837
482	780	835
483	782	834
484	784	832
485	785	831
486	787	829
487	789	827
488	790	826
489	792	824
490	793	822
491	795	821
492	796	819
493	798	817
494	799	816
495	801	814
496	803	812
497	804	811
498	806	809
499	807	807
500	809	806
501	811	804
502	812	802
503	814	801
504	815	799
505	817	797
506	818	796
507	820	794
508	822	793
509	823	791
510	825	789
511	826	788
512	828	786
513	829	784
514	831	783
515	833	781
516	834	779
517	836	778
518	838	776
519	839	775
520	841	773
521	842	771
522	844	770
523	846	768
524	847	766
525	849	765
526	850	763
527	852	761
528	853	760
529	855	758
530	857	757
531	858	755
532	860	753
533	861	751
534	863	750
535	864	748
536	866	747
537	868	745
538	870	744
539	872	743
540	875	742
541	876	740
542	878	739
543	881	738
544	883	737
545	885	736
546	887	734
547	888	733
548	890	731
549	893	730
550	894	729
551	896	727
552	898	726
553	899	724
554	901	723
555	903	721
556	905	720
557	908	719
558	909	717
559	911	716
560	913	714
561	915	713
562	916	711
563	918	709
564	919	708
565	921	706
566	922	704
567	924	703
568	925	701
569	927	699
570	928	697
571	930	696
572	932	694
573	933	693
574	935	691
575	937	689
576	938	688
577	940	686
578	943	685
579	949	687
580	955	689
581	959	689
582	962	688
583	969	690
584	976	692
585	984	695
586	988	695
587	990	694
588	992	692
589	993	690
590	995	688
591	996	686
592	998	685
593	999	683
594	1001	681
595	1003	679
596	1004	678
597	1006	676
598	1007	674
599	1009	673
600	1011	671
601	1012	669
602	1014	667
603	1015	666
604	1017	664
605	1019	662
606	1020	660
607	1022	659
608	1023	657
609	1025	655
610	1027	654
611	1028	652
612	1030	650
613	1031	648
614	1033	646
615	1035	645
616	1036	643
617	1038	641
618	1040	640
619	1042	638
620	1043	637
621	1045	635
622	1047	633
623	1048	632
624	1050	630
625	1052	628
626	1053	626
627	1055	625
628	1057	623
629	1058	621
630	1060	620
631	1062	618
632	1063	616
633	1065	614
634	1066	613
635	1068	611
636	1069	609
637	1071	607
638	1072	606
639	1074	604
640	1076	602
641	1077	600
642	1079	599
643	1080	597
644	1082	595
645	1083	593
646	1086	592
647	1087	590
648	1089	589
649	1090	587
650	1092	585
651	1094	584
652	1096	582
653	1097	580
654	1099	579
655	1101	577
656	1102	575
657	1104	574
658	1106	572
659	1107	570
660	1109	568
661	1111	567
662	1112	565
663	1114	563
664	1115	562
665	1117	560
666	1119	558
667	1121	557
668	1122	555
669	1124	553
670	1126	552
671	1128	550
672	1130	549
673	1132	547
674	1134	546
675	1135	544
676	1137	542
677	1138	540
678	1140	539
679	1142	537
680	1143	535
681	1145	534
682	1147	532
683	1149	531
684	1151	529
685	1152	527
686	1154	525
687	1155	524
688	1157	522
689	1158	520
690	1160	518
691	1162	517
692	1163	515
693	1165	513
694	1166	512
695	1168	510
696	1170	508
697	1171	506
698	1173	505
699	1174	503
700	1176	501
701	1178	500
702	1179	498
703	1181	496
704	1183	495
705	1184	493
706	1186	491
707	1187	489
708	1189	488
709	1191	486
710	1192	484
711	1194	483
712	1196	481
713	1197	479
714	1199	478
715	1201	476
716	1202	474
717	1204	472
718	1205	471
719	1207	469
720	1209	467
721	1210	466
722	1212	464
723	1213	462
724	1215	461
725	1216	459
726	1218	457
727	1220	455
728	1221	454
729	1223	452
730	1225	450
731	1226	449
732	1228	447
733	1229	445
734	1231	443
735	1233	442
736	1234	440
737	1236	438
738	1237	437
739	1239	435
740	1241	433
741	1242	432
742	1244	430
743	1245	428
744	1247	426
745	1248	425
746	1250	423
747	1252	421
748	1253	420
749	1255	418
750	1256	416
751	1258	415
752	1260	413
753	1263	412
754	1267	411
755	1270	409
756	1272	408
757	1278	408
758	1280	406
759	1283	405
760	1286	404
761	1291	403
762	1295	402
763	1297	400
764	1298	398
765	1300	397
766	1302	395
767	1303	393
768	1305	392
769	1306	390
770	1308	388
771	1310	386
772	1311	385
773	1313	383
774	1314	381
775	1316	380
776	1318	378
777	1319	376
778	1321	374
779	1322	373
780	1324	371
781	1325	369
782	1327	367
783	1329	366
784	1330	364
785	1332	362
786	1334	361
787	1335	359
788	1337	357
789	1339	355
790	1340	354
791	1342	352
792	1344	350
793	1345	349
794	1347	347
795	1348	345
796	1350	343
797	1351	342
798	1353	340
799	1355	338
800	1356	337
801	1358	335
802	1360	333
803	1361	331
804	1363	330
805	1364	328
806	1366	326
807	1368	325
808	1369	323
809	1371	321
810	1373	320
811	1374	318
812	1376	316
813	1378	314
814	1380	313
815	1381	311
816	1383	309
817	1385	308
818	1386	306
819	1388	304
820	1390	303
821	1391	301
822	1393	299
823	1395	297
824	1396	296
825	1398	294
826	1399	292
827	1401	291
828	1402	289
829	1404	287
830	1406	285
831	1407	284
832	1409	282
833	1410	280
834	1412	279
835	1414	277
836	1415	275
837	1417	273
838	1418	272
839	1420	270
840	1422	268
841	1423	267
842	1425	265
843	1426	263
844	1428	262
845	1430	260
846	1431	258
847	1433	256
848	1434	255
849	1436	253
850	1437	251
851	1439	250
852	1440	248
853	1442	246
854	1444	244
855	1445	243
856	1447	241
857	1448	239
858	1450	238
859	1451	236
860	1453	234
861	1454	232
862	1456	231
863	1458	229
864	1459	227
865	1461	226
866	1463	224
867	1464	222
868	1466	221
869	1468	219
870	1470	217
871	1472	216
872	1474	214
873	1475	212
874	1477	211
875	1479	209
876	1480	207
877	1482	205
878	1485	204
879	1486	202
880	1488	201
881	1490	199
882	1491	197
883	1493	195
884	1494	194
885	1496	192
886	1497	190
887	1499	189
888	1501	187
889	1502	185
890	1504	184
891	1505	182
892	1507	180
893	1508	178
894	1510	177
895	1511	175
896	1513	173
897	1514	172
898	1516	170
899	1517	168
900	1519	166
901	1520	165
902	1522	163
903	1523	161
904	1525	160
905	1527	158
906	1529	156
907	1531	155
908	1532	153
909	1534	151
910	1536	150
911	1538	148
912	1539	146
913	1541	145
914	1542	143
915	1544	141
916	1547	140
917	1548	138
918	1550	136
919	1551	134
920	1553	133
921	1554	131
922	1556	129
923	1558	128
924	1559	126
925	1561	124
926	1562	123
927	1564	121
928	1565	119
929	1567	117
930	1568	116
931	1570	114
932	1572	112
933	1573	111
934	1575	109
935	1577	107
936	1579	106
937	1581	104
938	1582	102
939	1584	101
940	1585	99
941	1587	97
942	1589	96
943	1590	94
944	1592	92
945	1593	90
946	1595	89
947	1596	87
948	1598	85
949	1600	84
950	1601	82
951	1603	80
952	1604	79
953	1606	77
954	1607	75
955	1609	74
956	1610	72
957	1612	70
958	1614	69
959	1615	67
960	1617	65
961	1618	63
962	1620	62
963	1621	60
964	1623	58
965	1625	57
966	1626	55
967	1628	53
968	1629	52
969	1631	50
970	1633	48
971	1634	47
972	1636	45
973	1637	43
974	1639	42
975	1640	40
976	1642	38
977	1644	36
978	1645	35
979	1647	33
980	1648	31
981	1650	30
982	1651	28
983	1653	26
984	1655	25
985	1657	23
986	1659	21
987	1662	20
988	1664	18
989	1665	16
990	1669	15
991	1671	13
992	1673	11
993	1675	10
994	1677	8
995	1679	6
996	1680	5
997	1682	3
998	1683	1
999	1685	0
