iter	Logloss
0	0.678679579
1	0.6654503038
2	0.6523742947
3	0.6403425022
4	0.6294548611
5	0.6177212457
6	0.6076738281
7	0.5979383138
8	0.5885213216
9	0.5794125977
10	0.5724806858
11	0.5665762804
12	0.5598722873
13	0.5522449002
14	0.5454947917
15	0.5394491645
16	0.5341996528
17	0.5284196506
18	0.5231244575
19	0.5183140734
20	0.5133720161
21	0.5085731337
22	0.5044568142
23	0.4995272352
24	0.4958326823
25	0.4921156684
26	0.4883727214
27	0.4851359592
28	0.4817282444
29	0.4784796007
30	0.4756577691
31	0.4728991428
32	0.4701852756
33	0.4678243273
34	0.4652473958
35	0.4630103082
36	0.460577691
37	0.4587851562
38	0.4570215929
39	0.4553409288
40	0.4532526855
41	0.4512546115
42	0.4493993327
43	0.4477330729
44	0.446113661
45	0.4444038628
46	0.4426746962
47	0.4410088433
48	0.4394647081
49	0.4379179416
50	0.4366075033
51	0.4351494954
52	0.4340467936
53	0.4327253689
54	0.4314420302
55	0.4303742405
56	0.4293771159
57	0.428292589
58	0.427198622
59	0.4262935927
60	0.4252157661
61	0.4244540744
62	0.4233772244
63	0.4223965386
64	0.4216049805
65	0.420740804
66	0.4198808322
67	0.4189799805
68	0.4182859701
69	0.4176832682
70	0.4168960503
71	0.41621875
72	0.4158334961
73	0.4153218859
74	0.4146987576
75	0.4139669325
76	0.4132865126
77	0.4127190755
78	0.4121001519
79	0.4114906684
80	0.4109208442
81	0.4104326172
82	0.4097514106
83	0.4093215603
84	0.4088624946
85	0.4084222548
86	0.4077604167
87	0.4072021756
88	0.4067368164
89	0.4062399089
90	0.40578125
91	0.4052325304
92	0.4049818793
93	0.4045331489
94	0.404087538
95	0.40367551
96	0.4032935655
97	0.4029204915
98	0.4025707465
99	0.4019696452
100	0.4015063477
101	0.4011713325
102	0.4008189562
103	0.4004121094
104	0.4000450304
105	0.3996508789
106	0.399258138
107	0.3989703505
108	0.3986114366
109	0.3982951931
110	0.397977322
111	0.3976462674
112	0.3973854167
113	0.3971598307
114	0.3968111437
115	0.3964481879
116	0.3960444336
117	0.3956478407
118	0.3952991536
119	0.3950416124
120	0.3947086589
121	0.3944745822
122	0.3942206489
123	0.3939330783
124	0.393661594
125	0.3933662381
126	0.3929696723
127	0.3927790256
128	0.3922749566
129	0.3921017795
130	0.3915748698
131	0.3912820638
132	0.3911718207
133	0.3908562283
134	0.3905214301
135	0.390207194
136	0.3899206543
137	0.3897550184
138	0.389555447
139	0.3893413628
140	0.3890879178
141	0.3889342448
142	0.3887157118
143	0.3885213759
144	0.3882299805
145	0.3880770399
146	0.387910753
147	0.3877764757
148	0.3875862901
149	0.3873672418
150	0.3870986871
151	0.3867532552
152	0.3865759549
153	0.3863192817
154	0.3861318902
155	0.3858699544
156	0.3856376411
157	0.3851763238
158	0.3848761936
159	0.3846922472
160	0.384376926
161	0.3841442329
162	0.383910536
163	0.3837414008
164	0.3835336914
165	0.3832958442
166	0.3830722114
167	0.3828427734
168	0.3828085395
169	0.3826202257
170	0.3823398709
171	0.3821101888
172	0.3819001194
173	0.3817083062
174	0.3815725369
175	0.381435791
176	0.381257921
177	0.3810718316
178	0.380769043
179	0.3806584201
180	0.3804000109
181	0.3801970757
182	0.3799412977
183	0.3797757975
184	0.3796340875
185	0.3794102105
186	0.3792255859
187	0.3789770508
188	0.3788111979
189	0.3787137044
190	0.3785329319
191	0.378425293
192	0.3781636285
193	0.3779797635
194	0.3777988281
195	0.3776485731
196	0.3773570964
197	0.3772430556
198	0.3771458876
199	0.3769653049
200	0.376863444
201	0.3766665039
202	0.3764684787
203	0.3763036567
204	0.3762364909
205	0.3760777724
206	0.3758521322
207	0.3757459852
208	0.3755362956
209	0.3753635525
210	0.375097819
211	0.3748463542
212	0.3745685764
213	0.3744326443
214	0.3742929688
215	0.3741730686
216	0.3740540907
217	0.3736919217
218	0.3733384874
219	0.3731619466
220	0.3728810764
221	0.3727305773
222	0.3725716146
223	0.3724193251
224	0.3723972982
225	0.3722195095
226	0.3720157335
227	0.3718091092
228	0.3716496853
229	0.3715220812
230	0.371381212
231	0.3711882053
232	0.3709300401
233	0.370821072
234	0.3706860894
235	0.3705289171
236	0.3703927138
237	0.3702163628
238	0.3699962836
239	0.3698166775
240	0.3696487088
241	0.3694263509
242	0.3692968207
243	0.3691804742
244	0.3691133898
245	0.3688785265
246	0.3687469889
247	0.3685791016
248	0.3683719889
249	0.3681641168
250	0.3678944499
251	0.3677550998
252	0.3675997993
253	0.3674681532
254	0.3672396918
255	0.3670738118
256	0.3668933105
257	0.3667293837
258	0.3665987684
259	0.3663855794
260	0.3662892795
261	0.3662170953
262	0.3660553928
263	0.3659448513
264	0.3658342014
265	0.3656816406
266	0.3655353461
267	0.3653026259
268	0.3652134332
269	0.3650155707
270	0.3648915473
271	0.3647430013
272	0.3645155979
273	0.3644199219
274	0.364339247
275	0.3642201606
276	0.3640258247
277	0.3639541016
278	0.3638074273
279	0.3636983236
280	0.3635040148
281	0.3633677843
282	0.3632315538
283	0.3631009115
284	0.3629388563
285	0.3627733832
286	0.3626145291
287	0.362491645
288	0.362444553
289	0.3623256293
290	0.3621734484
291	0.3620223796
292	0.3619399143
293	0.3618611382
294	0.3617102865
295	0.3615975206
296	0.3613678657
297	0.3611359049
298	0.3610349935
299	0.360839898
300	0.3607380642
301	0.3605204807
302	0.3603633355
303	0.360195638
304	0.360022678
305	0.3599239366
306	0.3597700195
307	0.3596973741
308	0.3596141493
309	0.3594363878
